SicknessName,Symtoms
Adrenal cancer,"Weight gain
Muscle weakness
Pink or purple stretch marks on the skin
Hormone changes in women that might cause excess facial hair, hair loss on the head and irregular periods
Hormone changes in men that might cause enlarged breast tissue and shrinking testicles
Nausea
Vomiting
Abdominal bloating
Back pain
Fever
Loss of appetite
Loss of weight without trying
Beckwith-Wiedemann syndrome
Carney complex
Li-Fraumeni syndrome
Lynch syndrome
Multiple endocrine neoplasia, type 1 (MEN 1)
"
Autoimmune hepatitis,"Fatigue
Abdominal discomfort
Yellowing of the skin and whites of the eyes (jaundice)
An enlarged liver
Abnormal blood vessels on the skin (spider angiomas)
Skin rashes
Joint pains
Loss of menstrual periods
 This is the most common type of the disease. It can occur at any age. About half the people with type 1 autoimmune hepatitis have other autoimmune disorders, such as celiac disease, rheumatoid arthritis or ulcerative colitis.
 Although adults can develop type 2 autoimmune hepatitis, it's most common in children and young people. Other autoimmune diseases may accompany this type of autoimmune hepatitis.
 Although both males and females can develop autoimmune hepatitis, the disease is more common in females.
 Autoimmune hepatitis may develop after you're infected with the measles, herpes simplex or Epstein-Barr virus. The disease is also linked to hepatitis A, B or C infection.
 Evidence suggests that a predisposition to autoimmune hepatitis may run in families.
 People who already have an autoimmune disease, such as celiac disease, rheumatoid arthritis or hyperthyroidism (Graves' disease or Hashimoto's thyroiditis), may be more likely to develop autoimmune hepatitis.
 When circulation through the portal vein is blocked, blood may back up into other blood vessels — mainly those in your stomach and esophagus. The blood vessels are thin walled, and because they're filled with more blood than they're meant to carry, they're likely to bleed. Massive bleeding in the esophagus or stomach from these blood vessels is a life-threatening emergency that requires immediate medical care.
 Liver disease can cause large amounts of fluid to accumulate in your abdomen. Ascites can be uncomfortable and may interfere with breathing and is usually a sign of advanced cirrhosis.
 This occurs when extensive damage to liver cells makes it impossible for your liver to function adequately. At this point, a liver transplant is needed.
 People with cirrhosis have an increased risk of liver cancer.
"
Autism spectrum disorder,"Fails to respond to his or her name or appears not to hear you at times
Resists cuddling and holding, and seems to prefer playing alone, retreating into his or her own world
Has poor eye contact and lacks facial expression
Doesn't speak or has delayed speech, or loses previous ability to say words or sentences
Can't start a conversation or keep one going, or only starts one to make requests or label items
Speaks with an abnormal tone or rhythm and may use a singsong voice or robot-like speech
Repeats words or phrases verbatim, but doesn't understand how to use them
Doesn't appear to understand simple questions or directions
Doesn't express emotions or feelings and appears unaware of others' feelings
Doesn't point at or bring objects to share interest
Inappropriately approaches a social interaction by being passive, aggressive or disruptive
Has difficulty recognizing nonverbal cues, such as interpreting other people's facial expressions, body postures or tone of voice
Performs repetitive movements, such as rocking, spinning or hand flapping
Performs activities that could cause self-harm, such as biting or head-banging
Develops specific routines or rituals and becomes disturbed at the slightest change
Has problems with coordination or has odd movement patterns, such as clumsiness or walking on toes, and has odd, stiff or exaggerated body language
Is fascinated by details of an object, such as the spinning wheels of a toy car, but doesn't understand the overall purpose or function of the object
Is unusually sensitive to light, sound or touch, yet may be indifferent to pain or temperature
Doesn't engage in imitative or make-believe play
Fixates on an object or activity with abnormal intensity or focus
Has specific food preferences, such as eating only a few foods, or refusing foods with a certain texture
Doesn't respond with a smile or happy expression by 6 months
Doesn't mimic sounds or facial expressions by 9 months
Doesn't babble or coo by 12 months
Doesn't gesture — such as point or wave — by 14 months
Doesn't say single words by 16 months
Doesn't play ""make-believe"" or pretend by 18 months
Doesn't say two-word phrases by 24 months
Loses language skills or social skills at any age
 Several different genes appear to be involved in autism spectrum disorder. For some children, autism spectrum disorder can be associated with a genetic disorder, such as Rett syndrome or fragile X syndrome. For other children, genetic changes (mutations) may increase the risk of autism spectrum disorder. Still other genes may affect brain development or the way that brain cells communicate, or they may determine the severity of symptoms. Some genetic mutations seem to be inherited, while others occur spontaneously.
 Researchers are currently exploring whether factors such as viral infections, medications or complications during pregnancy, or air pollutants play a role in triggering autism spectrum disorder.
 Boys are about four times more likely to develop autism spectrum disorder than girls are.
 Families who have one child with autism spectrum disorder have an increased risk of having another child with the disorder. It's also not uncommon for parents or relatives of a child with autism spectrum disorder to have minor problems with social or communication skills themselves or to engage in certain behaviors typical of the disorder.
 Children with certain medical conditions have a higher than normal risk of autism spectrum disorder or autism-like symptoms. Examples include fragile X syndrome, an inherited disorder that causes intellectual problems; tuberous sclerosis, a condition in which benign tumors develop in the brain; and Rett syndrome, a genetic condition occurring almost exclusively in girls, which causes slowing of head growth, intellectual disability and loss of purposeful hand use.
 Babies born before 26 weeks of gestation may have a greater risk of autism spectrum disorder.
 There may be a connection between children born to older parents and autism spectrum disorder, but more research is necessary to establish this link.
Problems in school and with successful learning
Employment problems
Inability to live independently
Social isolation
Stress within the family
Victimization and being bullied
"
Atypical hyperplasia of the breast," describes abnormal cells within the breast ducts.
 describes abnormal cells within the breast lobules.
 The process begins when normal cell development and growth become disrupted, causing an overproduction of normal-looking cells (hyperplasia).
 The excess cells stack upon one another and begin to take on an abnormal appearance.
 The abnormal cells continue to progress in appearance and multiply, evolving into in situ cancer, in which cancer cells remain confined to milk ducts.
 The abnormal cells accumulate within the duct and continue to multiply and transition to become cancer cells. Invasive cancer tends to invade surrounding tissue, blood vessels or lymph channels.
 about 7% of women with atypical hyperplasia may develop breast cancer. Put another way, for every 100 women diagnosed with atypical hyperplasia, 7 can be expected to develop breast cancer five years after diagnosis. And 93 will not be diagnosed with breast cancer.
 about 13% of women with atypical hyperplasia may develop breast cancer. That means for every 100 women diagnosed with atypical hyperplasia, 13 can be expetected to develop breast cancer 10 years after diagnosis. And 87 will not develop breast cancer.
 about 30% of women with atypical hyperplasia may develop breast cancer. Put another way, for every 100 women diagnosed with atypical hyperplasia, 30 can be expected to develop breast cancer 25 years after diagnosis. And 70 will not develop breast cancer.
"
Atopic dermatitis (eczema),"Dry, cracked skin
Itchiness (pruritus)
Rash on swollen skin that varies in color depending on your skin color
Small, raised bumps, on brown or Black skin
Oozing and crusting
Thickened skin
Darkening of the skin around the eyes
Raw, sensitive skin from scratching
Has symptoms of atopic dermatitis
Is so uncomfortable that the condition is affecting sleep and daily activities
Has a skin infection — look for new streaks, pus, yellow scabs
Has symptoms even after trying self-care steps
 Many people with atopic dermatitis develop asthma and hay fever. This can happen before or after developing atopic dermatitis.
 People with atopic dermatitis often develop food allergies. One of the main symptoms of this condition is hives (urticaria).
 A skin condition called neurodermatitis (lichen simplex chronicus) starts with a patch of itchy skin. You scratch the area, which provides only temporary relief. Scratching actually makes the skin itchier because it activates the nerve fibers in your skin. Over time, you may scratch out of habit. This condition can cause the affected skin to become discolored, thick and leathery.
 This complication after the rash has healed is called post-inflammatory hyperpigmentation or hypopigmentation. It's more common in people with brown or Black skin. It might take several months for the discoloration to fade.
 Repeated scratching that breaks the skin can cause open sores and cracks. These increase the risk of infection from bacteria and viruses. These skin infections can spread and become life-threatening.
 This especially affects people whose hands are often wet and exposed to harsh soaps, detergents and disinfectant at work.
 This condition is common in people with atopic dermatitis. Allergic contact dermatitis is an itchy rash caused by touching substances you're allergic to. The color of the rash varies depending on your skin color.
 The itchiness of atopic dermatitis can interfere with sleep.
 Atopic dermatitis is associated with depression and anxiety. This may be related to the constant itching and sleep problems common among people with atopic dermatitis.

    

    

    
 Use warm, rather than hot, water and limit your bath or shower to about 10 minutes.
 Choose a cleanser that's free of dyes, alcohols and fragrance. For young children, you usually need only warm water to get them clean — no soap or bubble bath needed. Soap can be especially irritating to the skin of young children. For people of any age, deodorant soaps and antibacterial soaps can remove too much of the skin's natural oils and dry the skin. Don't scrub the skin with a washcloth or loofah.
 After bathing, gently pat the skin with a soft towel. Apply moisturizer while your skin is still damp (within three minutes).
Rough wool fabric
Dry skin
Skin infection
Heat and sweat
Stress
Cleaning products
Dust mites and pet dander
Mold
Pollen
Smoke from tobacco
Cold and dry air
Fragrances
Other irritating chemicals
"
Athlete's foot,"Scaly, peeling or cracked skin between the toes
Itchiness, especially right after taking off shoes and socks
Inflamed skin that might appear reddish, purplish or grayish, depending on your skin color
Burning or stinging
Blisters
Dry, scaly skin on the bottom of the foot that extends up the side
Frequently wear enclosed footwear
Sweat heavily
Share mats, rugs, bed linens, clothes or shoes with someone who has a fungal infection
Walk barefoot in public areas where the infection can spread, such as locker rooms, saunas, swimming pools, communal baths and showers
 When you can, wear sandals to let your feet air out as much as possible.
 Use warm, soapy water and rinse and dry your feet thoroughly, especially between the toes. Apply a medicated foot powder (Tinactin, Gold Bond, others) or other medicated powder (Lotrimin AF, Zeasorb, others) if you're prone to athlete's foot.
 Change your socks at least once a day — more often if your feet get really sweaty. Moisture-wicking socks, such as those made from cotton, help keep your feet drier than do nylon socks.
 Use different shoes from day to day. This gives your shoes time to dry after each use.
 Wear waterproof sandals or shoes around public pools, showers and lockers rooms.
 If you live with others, don't share shoes or unwashed bedding and towels.
"
Knee bursitis,"Frequent and sustained pressure, such as from kneeling, especially on hard surfaces
Overuse or strenuous activity
A direct blow to your knee
Bacterial infection of the bursa
Complications from osteoarthritis, rheumatoid arthritis or gout in your knee
 People who work on their knees for long periods — carpet layers, plumbers and gardeners — are at increased risk of knee bursitis.
 Sports that result in direct blows or frequent falls on the knee — such as wrestling, football and volleyball — can increase your risk of knee bursitis. Runners can develop pain and inflammation in the pes anserine bursa, situated on the inner side of your knee below the joint.
 Pes anserine bursitis, affecting the inner side of your knee below the joint, often occurs in obese women with osteoarthritis.
 If you're working on your knees or participating in sports that put your knees at risk, use padding to cushion and protect your knees.
 If you're on your knees for a period of time, take regular breaks to stretch your legs and rest your knees.
 Excessive or repetitious bending of your knees increases the force on your knee joints.
 This can help take pressure off your knee joint.
"
Bursitis,"Feel achy or stiff
Hurt more when you move it or press on it
Look swollen and red
Disabling joint pain
Sudden inability to move a joint
Excessive swelling, redness, bruising or a rash in the affected area
Sharp or shooting pain, especially when you exercise or exert yourself
A fever
Throwing a baseball or lifting something over your head repeatedly
Leaning on your elbows for long periods
Extensive kneeling for tasks such as laying carpet or scrubbing floors
 Bursitis becomes more common with aging.
 If your work or hobby requires repetitive motion or pressure on particular bursae, your risk of developing bursitis increases. Examples include carpet laying, tile setting, gardening, painting and playing a musical instrument.
 Certain systemic diseases and conditions — such as rheumatoid arthritis, gout and diabetes — increase your risk of developing bursitis. Being overweight can increase your risk of developing hip and knee bursitis.
 Use some type of padding to reduce the pressure on your knees if your job or hobby requires a lot of kneeling.
 Bend your knees when you lift. Failing to do so puts extra stress on the bursae in your hips.
 Carrying heavy loads puts stress on the bursae in your shoulders. Use a dolly or a wheeled cart instead.
 Alternate repetitive tasks with rest or other activities.
 Being overweight places more stress on your joints.
 Strengthening your muscles can help protect your affected joint.
 before strenuous activities to protect your joints from injury.
"
Ataxia,"Poor coordination
Walking unsteadily or with the feet set wide apart
Poor balance
Difficulty with fine motor tasks, such as eating, writing or buttoning a shirt
Change in speech
Involuntary back-and-forth eye movements (nystagmus)
Difficulty swallowing
Lose balance
Lose muscle coordination in a hand, arm or leg
Have difficulty walking
Slur your speech
Have difficulty swallowing
 Long-term excess alcohol intake may cause persistent ataxia. It's possible it may improve by avoiding alcohol completely.
 Ataxia is a potential side effect of certain medications, especially barbiturates, such as phenobarbital; sedatives, such as benzodiazepines; antiepileptic drugs, such as phenytoin; and some types of chemotherapy.
 Heavy metal poisoning, such as from lead or mercury, and solvent poisoning, such as from paint thinner, also can cause ataxia.
 Not getting enough vitamin E, vitamin B-1, vitamin B-12 or thiamine can lead to ataxia. 
 Vitamin B-6 deficiency also may cause ataxia. These causes are important to identify because ataxia caused by these deficiencies can often be reversed.
 Hypothyroidism and hypoparathyroidism can cause ataxia.
 Sudden onset of ataxia occurs with a stroke. This may be either due to a blood vessel blockage or bleeding on the brain.
 This neurological disorder may cause ataxia.
 Sarcoidosis, celiac disease, certain types of encephalomyelitis and other autoimmune diseases may cause ataxia.
 Ataxia can be an uncommon complication of chickenpox in childhood, and other viral infections such as 
 and Lyme disease. It might appear in the healing stages of the infection and last for days or weeks. Normally, the symptoms get better over time.
 Ataxia most commonly results from severe 
 cases.
 These are rare degenerative disorders triggered by the immune system response to a cancerous tumor (neoplasm), most commonly from lung, ovarian or breast cancer or lymphoma. Ataxia can appear months or years before the cancer is diagnosed.
 An infected area (abscess) in the brain may cause ataxia. A growth on the brain, a cancerous (malignant) or noncancerous (benign) tumor, can damage the cerebellum.
 Severe brain damage may cause cerebellar ataxia weeks to months after the trauma.
 This is a general term for a group of disorders caused by damage to a child's brain during early development — before, during or shortly after birth — that affects the child's ability to coordinate body movements.
 This affects adults around age 50. In addition to ataxia, other problems associated with this condition include bladder incontinence, low blood pressure or fainting on standing, and 
 sleep behavior disorder (yelling, kicking or punching in sleep).
 Researchers have identified more than 40 autosomal dominant ataxia genes, and the number continues to grow. Cerebellar ataxia and cerebellar degeneration are common to all types, and there may be other neurological signs and symptoms.
 There are eight recognized types of ataxia that are episodic rather than progressive — 
1 through 
7, plus late-onset episodic ataxia. 
1 and 
2 are the most common. 
1 involves brief ataxic episodes that may last seconds or minutes. The episodes are triggered by stress, being startled or sudden movement, and often are associated with muscle twitching. 
2 involves longer episodes, usually lasting from 30 minutes to six hours, which also are triggered by stress. There may be dizziness (vertigo), fatigue and muscle weakness during the episodes. In some cases, symptoms resolve in later life. Episodic ataxia doesn't shorten life span, and symptoms may respond to medication.

    

    

    

    
 This is the most common cause of late-onset ataxia. The ataxia symptoms are usually accompanied by dizziness, numbness or tingling in the body, and sometimes unexplained cough.

    

    

    

    
 This type of ataxia results from damage to the cerebellum that's present at birth.
 People with this condition accumulate copper in the brain, liver and other organs. This can cause ataxia and other neurological problems.
"
Occupational asthma,"Wheezing, sometimes just at night
Coughing
Shortness of breath
Chest tightness
Runny nose
Nasal congestion
Eye irritation and tearing
Get worse as the workweek progresses, go away during weekends and vacations, and recur when you return to work.
Occur both at work and away from work.
Start as soon as you're exposed to an asthma-inducing substance at work or only after a period of regular exposure to the substance.
Continue after exposure is stopped. The longer you're exposed to the asthma-causing substance, the more likely you'll have long-lasting or permanent asthma symptoms.
Rapid worsening of shortness of breath or wheezing
No improvement even after using a quick-relief inhaler
Shortness of breath even with minimal activity
 such as proteins found in dander, hair, scales, fur, saliva and body wastes.
 used to make paints, varnishes, adhesives, laminates and soldering resin. Other examples include chemicals used to make insulation, packaging materials, and foam mattresses and upholstery.
 used in detergents and flour conditioners.
 particularly platinum, chromium and nickel sulfate.
 including proteins found in natural rubber latex, flour, cereals, cotton, flax, hemp, rye, wheat and papain — a digestive enzyme derived from papaya.
 such as chlorine gas, sulfur dioxide and smoke.
 Although this can increase your risk, many people who have allergies or asthma do jobs that expose them to lung irritants and never have symptoms.
 Your parents may pass down genes that make it more likely for you to develop asthma.
 Some substances are known to be lung irritants and asthma triggers.
 Smoking increases your risk of developing asthma if you are exposed to certain types of irritants.
 Being smoke-free may help prevent or lessen symptoms of occupational asthma.
 This can help prevent illness.
 and other medications that may make symptoms worse.
 For people with obesity, losing weight can help improve symptoms and lung function.
 if you'll be working with any hazardous chemicals.
 how to safely handle these chemicals.
 how to respond to an emergency, such as a chemical spill.
, such as masks and respirators.
 if a new chemical is introduced to your workplace.
"
Atelectasis,"Having a hard time breathing.
Rapid, weak breathing.
Wheezing.
Coughing.
 A mucus plug is a buildup of sputum or phlegm in your airways. It commonly occurs during and after surgery because you can't cough. Drugs given during surgery make you breathe less deeply. So mucus that usually would move out of your lungs may build up in your airways. Suctioning the lungs during surgery helps clear them. But sometimes mucus still builds up. Mucus plugs also are common in children, people with cystic fibrosis and during severe asthma attacks.
 Atelectasis is common in children who have inhaled an object into their lungs, such as a peanut or part of a small toy.
 A growth, which may or may not be cancer, can narrow or block the airway.
 Chest trauma, such as from a fall or car accident, can cause you to avoid taking deep breaths due to pain. This can lead to the squeezing of your lungs.
 This condition involves the buildup of fluid in the space between the lining of your lungs and the inside of your chest wall.
 Various types of pneumonia, which is a lung infection, can cause atelectasis.
 This is when air leaks into the space between your lungs and chest wall, causing some or all of a lung to collapse.
 Injury, lung disease or surgery could cause scarring.
 A large tumor can press against the lung and force air out of it.
Any condition that makes it hard to swallow.
Needing to stay in bed over a long time and not having enough changes of position.
Lung disease, such as asthma, bronchiectasis or cystic fibrosis.
Recent surgery in the stomach area or chest.
Recent general anesthesia.
Weak breathing muscles due to muscular dystrophy, spinal cord injury or another neuromuscular condition.
Medicines that may cause weak breathing.
Pain or injury that may make it painful to cough or cause weak breathing, including stomach pain or a broken rib.
Smoking.
 Atelectasis makes it harder for your lungs to get oxygen to the air sacs.
 Your risk of pneumonia continues until the atelectasis goes away. Mucus in a collapsed lung may lead to infection.
 Loss of a lobe or a whole lung, especially in an infant or someone with lung disease, can be life-threatening.
"
